[2025-05-29 12:19:03] 🚀 [ARBITRAGE] BTC/USDT → BUY on kucoin @ 108513.30 → SELL on okx @ 108543.50 | Profit: 0.03%
[2025-05-29 12:19:07] 🚀 [ARBITRAGE] ETH/USDT → BUY on bitget @ 2728.65 → SELL on okx @ 2729.00 | Profit: 0.01%
[2025-05-29 12:19:11] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 172.46 → SELL on bybit @ 172.50 | Profit: 0.02%
[2025-05-29 12:19:24] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108503.71 → SELL on okx @ 108531.10 | Profit: 0.03%
[2025-05-29 12:19:28] 🚀 [ARBITRAGE] ETH/USDT → BUY on bitget @ 2726.97 → SELL on bybit @ 2727.41 | Profit: 0.02%
[2025-05-29 12:39:34] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108480.63 → SELL on bybit @ 108520.10 | Profit: 0.04%
[2025-05-29 12:39:37] 🚀 [ARBITRAGE] ETH/USDT → BUY on bitget @ 2726.75 → SELL on bybit @ 2727.28 | Profit: 0.02%
[2025-05-29 12:39:41] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 172.37 → SELL on okx @ 172.39 | Profit: 0.01%
[2025-05-29 12:39:54] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108480.61 → SELL on bybit @ 108520.10 | Profit: 0.04%
[2025-05-29 12:39:57] 🚀 [ARBITRAGE] ETH/USDT → BUY on bitget @ 2726.25 → SELL on bybit @ 2726.69 | Profit: 0.02%
[2025-05-29 12:40:01] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 172.34 → SELL on okx @ 172.36 | Profit: 0.01%
[2025-05-29 12:40:14] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108479.01 → SELL on bybit @ 108520.10 | Profit: 0.04%
[2025-05-29 12:40:17] 🚀 [ARBITRAGE] ETH/USDT → BUY on bitget @ 2725.71 → SELL on bybit @ 2726.35 | Profit: 0.02%
[2025-05-29 12:40:20] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 172.36 → SELL on bybit @ 172.40 | Profit: 0.02%
